school,lea,type,new_student_cases_low,new_student_cases_high,new_student_cases_avg,total_student_cases_low,total_student_cases_high,total_student_cases_avg,new_staff_cases_low,new_staff_cases_high,new_staff_cases_avg,total_staff_cases_low,total_staff_cases_high,total_staff_cases_avg,date
Arlington School,Cranston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Cranston Early Learning Center,Cranston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Cranston High School East,Cranston,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
Cranston High School West,Cranston,in person,0,0,0.0,25,29,27.0,0,0,0.0,10,14,12.0,2021-01-13
Daniel D. Waterman School,Cranston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Eden Park School,Cranston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Edgewood Highland School,Cranston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Edward S. Rhodes School,Cranston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Garden City School,Cranston,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
George J. Peters School,Cranston,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
Gladstone Street School,Cranston,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Glen Hills School,Cranston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Hope Highlands Middle School,Cranston,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Hugh B. Bain Middle School,Cranston,in person,0,0,0.0,15,19,17.0,0,0,0.0,5,9,7.0,2021-01-13
NEL/CPS Construction Career Academy,Cranston,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Oak Lawn School,Cranston,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Orchard Farms Elementary School,Cranston,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
Park View Middle School,Cranston,in person,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-13
Sanders Academy,Cranston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Stadium Elementary School,Cranston,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
Stone Hill School,Cranston,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Western Hills Middle School,Cranston,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
William R. Dutemple School,Cranston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Woodridge School,Cranston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Ashton School,Cumberland,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
B.F. Norton Elementary School,Cumberland,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Community School,Cumberland,in person,0,0,0.0,15,19,17.0,0,0,0.0,5,9,7.0,2021-01-13
Cumberland High School,Cumberland,in person,0,0,0.0,25,29,27.0,0,0,0.0,5,9,7.0,2021-01-13
Garvin Memorial School,Cumberland,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
John J. McLaughlin Cumberland Hill School,Cumberland,in person,0,0,0.0,0,0,0.0,0,0,0.0,5,9,7.0,2021-01-13
Joseph L. McCourt Middle School,Cumberland,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
North Cumberland Middle School,Cumberland,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
Ocean Tides School,DCYF,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Wm. M. Davies Jr. Career-Technical High School,Davies Career and Tech,in person,0,0,0.0,45,49,47.0,0,0,0.0,5,9,7.0,2021-01-13
East Bay Educational Collaborative,East Bay Educational Collaborative,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Archie R. Cole Middle School,East Greenwich,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
East Greenwich High School,East Greenwich,in person,0,0,0.0,15,19,17.0,0,0,0.0,5,9,7.0,2021-01-13
Frenchtown School,East Greenwich,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
George Hanaford School,East Greenwich,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
James H. Eldredge El. School,East Greenwich,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Meadowbrook Farms School,East Greenwich,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Agnes B. Hennessey School,East Providence,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Alice M. Waddington School,East Providence,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
East Providence High School,East Providence,in person,0,0,0.0,25,29,27.0,0,0,0.0,20,24,22.0,2021-01-13
Edward R. Martin Middle School,East Providence,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Edward R. Martin Middle School Annex,East Providence,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Emma G. Whiteknact School,East Providence,in person,0,0,0.0,0,0,0.0,0,0,0.0,5,9,7.0,2021-01-13
James R. D. Oldham School,East Providence,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Kent Heights School,East Providence,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Myron J. Francis Elementary School,East Providence,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Orlo Avenue School,East Providence,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Riverside Middle School,East Providence,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
Silver Spring School,East Providence,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
T&E Furtado dba Oliver Day School,East Providence,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Exeter-West Greenwich Regional High School,Exeter-West Greenwich,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Exeter-West Greenwich Regional Junior High,Exeter-West Greenwich,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Metcalf School,Exeter-West Greenwich,in person,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-13
Mildred E. Lineham School,Exeter-West Greenwich,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Wawaloam School,Exeter-West Greenwich,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Captain Isaac Paine Elementary School,Foster,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Ponaganset High School,Foster-Glocester,in person,0,0,0.0,20,24,22.0,0,0,0.0,10,14,12.0,2021-01-13
Ponaganset Middle School,Foster-Glocester,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Fogarty Memorial School,Glocester,in person,0,0,0.0,0,0,0.0,0,0,0.0,5,9,7.0,2021-01-13
West Glocester Elementary,Glocester,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Highlander Elementary Charter School,Highlander,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Highlander Secondary Charter School,Highlander,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
International Charter School,International Charter,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Jamestown School-Lawn,Jamestown,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Jamestown School-Melrose,Jamestown,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Brown Avenue School,Johnston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Early Childhood Center,Johnston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Graniteville School,Johnston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Johnston Senior High School,Johnston,in person,0,0,0.0,20,24,22.0,0,0,0.0,10,14,12.0,2021-01-13
Nicholas A. Ferri Middle School,Johnston,in person,0,0,0.0,25,29,27.0,0,0,0.0,5,9,7.0,2021-01-13
Sarah Dyer Barnes School,Johnston,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Thornton School,Johnston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Winsor Hill School,Johnston,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
Kingston Hill Academy,Kingston Hill Academy,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
The Learning Community Charter School,Learning Community,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Lincoln Central Elementary School,Lincoln,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
Lincoln Middle School,Lincoln,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Lincoln Senior High School,Lincoln,in person,5,9,7.0,35,39,37.0,0,0,0.0,10,14,12.0,2021-01-13
Lonsdale Elementary School,Lincoln,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
Northern Lincoln Elementary School,Lincoln,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
Saylesville Elementary School,Lincoln,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Wilbur and McMahon Schools,Little Compton,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Metropolitan Regional Career and Technical Center,MET Career and Tech,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Aquidneck School,Middletown,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Forest Avenue School,Middletown,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Joseph H. Gaudet Learning Academy,Middletown,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Joseph H. Gaudet Middle School,Middletown,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Middletown High School,Middletown,in person,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-13
Narragansett Elementary School,Narragansett,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
Narragansett High School,Narragansett,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Narragansett Pier School,Narragansett,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Block Island School,New Shoreham,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Claiborne Pell Elementary School,Newport,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Frank E. Thompson Middle School,Newport,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Rogers High School,Newport,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Davisville Academy,North Kingstown,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Davisville Middle School,North Kingstown,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Fishing Cove Elementary School,North Kingstown,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Forest Park Elementary School,North Kingstown,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
Hamilton Elementary School,North Kingstown,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
North Kingstown Senior High School,North Kingstown,in person,5,9,7.0,45,49,47.0,0,0,0.0,10,14,12.0,2021-01-13
Stony Lane Elementary School,North Kingstown,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Suzanne M. Henseler Quidnessett Elementary School,North Kingstown,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Wickford Middle School,North Kingstown,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Birchwood Middle School,North Providence,in person,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-13
Centredale School,North Providence,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Dr. Edward A. Ricci Middle School,North Providence,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Dr. Joseph A Whelan Elementary School,North Providence,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Greystone School,North Providence,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
James L. McGuire School,North Providence,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
North Providence High School,North Providence,in person,0,0,0.0,30,34,32.0,0,0,0.0,10,14,12.0,2021-01-13
Stephen Olney School,North Providence,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
North Smithfield Elementary School,North Smithfield,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
North Smithfield High School,North Smithfield,in person,0,0,0.0,20,24,22.0,0,0,0.0,5,9,7.0,2021-01-13
North Smithfield Middle School,North Smithfield,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Northern RI Collaborative,Northern RI Collaborative,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Paul Cuffee Lower School,Paul Cuffee Charter Sch,in person,0,0,0.0,0,0,0.0,0,0,0.0,5,9,7.0,2021-01-13
Paul Cuffee Middle School,Paul Cuffee Charter Sch,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Paul Cuffee Upper School,Paul Cuffee Charter Sch,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Agnes E. Little School,Pawtucket,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Charles E. Shea High School,Pawtucket,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Curvin-McCabe School,Pawtucket,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Elizabeth Baldwin School,Pawtucket,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Fallon Memorial School,Pawtucket,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Flora S. Curtis Memorial School,Pawtucket,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Francis J. Varieur School,Pawtucket,in person,0,0,0.0,5,9,7.0,0,0,0.0,10,14,12.0,2021-01-13
Henry J. Winters School,Pawtucket,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Jacqueline M. Walsh School for the Performing and Visual Arts,Pawtucket,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Joseph Jenks Middle School,Pawtucket,in person,0,0,0.0,0,0,0.0,0,0,0.0,5,9,7.0,2021-01-13
Lyman B. Goff Middle School,Pawtucket,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Nathanael Greene Elementary School (Pawtucket),Pawtucket,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
Potter-Burns School,Pawtucket,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
Providence Autism School to Tomorrow Academy,Pawtucket,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Samuel Slater Middle School,Pawtucket,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
